a,E2,kinetic,potential,phi
0.23698425196850395,24.371667260149426,0.08683520612526303,0.6322315511997741,nan
0.2448503937007874,22.15967396865114,0.07361105098428433,0.6388946634449832,nan
0.2527165354330709,20.214663337896148,0.0626963214257628,0.6444066143020976,nan
0.2605826771653543,18.497542610288946,0.05363014596918277,0.6489980364993648,nan
0.26844881889763783,16.975891810298712,0.04605355223369418,0.6528486164085887,nan
0.2763149606299213,15.622671857427402,0.03968480190768034,0.656099425295975,nan
0.28418110236220473,14.415210799257675,0.034301188173718467,0.6588620191215357,nan
0.2920472440944882,13.334402578458581,0.029725481486988038,0.6612252139242689,nan
0.2999133858267717,12.364069491996451,0.02581575128773691,0.6632601729922339,nan
0.30777952755905513,11.490451660318657,0.022457661943103207,0.6650242566633484,nan
0.3156456692913386,10.701795735080834,0.0195585976887231,0.6665639573705898,nan
0.3235118110236221,9.988021660418775,0.017043150595950567,0.6679171529241062,nan
0.33137795275590554,9.340451210874921,0.014849632094944987,0.6691148477784781,nan
0.339244094488189,8.751585714816501,0.012927358675417746,0.670182526996816,nan
0.34711023622047243,8.214923160264195,0.01123452710402565,0.6711412152751113,nan
0.35497637795275594,7.72480700379585,0.009736541374203694,0.6720083099633146,nan
0.3628425196850394,7.276300631613194,0.008404687819748721,0.6727982399237907,nan
0.37070866141732284,6.865082678362092,0.007215079993702534,0.6735229894951535,nan
0.37857480314960634,6.487359384654117,0.006147813562483461,0.6741925175171823,nan
0.3864409448818898,6.139790935702144,0.005186285383991766,0.6748150944242857,nan
0.39430708661417324,5.819429321221397,0.004316641404495225,0.6753975751912986,nan
0.4021732283464567,5.523665728424127,0.0035273259382674624,0.6759456219576679,nan
0.4100393700787402,5.250185854005026,0.002808710951079858,0.6764638871309693,nan
0.41790551181102364,4.996931819100852,0.0021527886330599145,0.6769561654378327,nan
0.4257716535433071,4.762069609839773,0.0015529141756168915,0.6774255215702182,nan
0.43363779527559054,4.543961157976626,0.0010035885120570046,0.6778743986416591,nan
0.44150393700787405,4.341140331053391,0.0005002730382075576,0.6783047115233926,nan
0.4493700787401575,4.1522922271504195,3.9230128244657856e-05,0.6787179282090193,nan
0.45723622047244095,3.976235271549776,-0.0003826152934913846,0.6791151416068825,nan
0.46510236220472445,3.8119056961794833,-0.0007677967030280002,0.6794971335482716,nan
0.4729685039370079,3.6583440512178327,-0.0011184120985002605,0.6798644323014289,nan
0.48083464566929135,3.5146834546148362,-0.0014362172091523604,0.6802173644805816,nan
0.4887007874015748,3.3801393318401773,-0.0017227071437962032,0.6805561019236751,nan
0.4965669291338583,3.254000436733696,-0.0019791874131345095,0.6808807038727653,nan
0.5044330708661418,3.1356209763888065,-0.0022068349741514296,0.6811911546216988,nan
0.5122992125984253,3.0244136897251437,-0.002406749768941375,0.681487396687936,nan
