observable,z,parameter,param_nominal,dp,dO_dp,abs_dO_dp,dlnO_dlnp,sigma_obs,normalized_score,stable,stability_rel_diff,step_reference,step_validation
Hz,0.6,Om,0.3,0.003,103.2254053629605,103.2254053629605,0.3185416409915772,4.394736058118728,23.488419781721458,True,3.8051201365111916e-06,0.003,0.0015
Hz,0.8,Om,0.3,0.003,130.41896291863017,130.41896291863017,0.3571218070204761,3.188354695775299,40.90478486958827,True,4.782664311576793e-06,0.003,0.0015
Hz,1.0,Om,0.3,0.003,159.03050509915317,159.03050509915317,0.3870996744743668,4.951244703273511,32.11929820273482,True,5.6193203945688815e-06,0.003,0.0015
Hz,1.5,Om,0.3,0.003,235.61261451533727,235.61261451533727,0.43503891955223606,4.522279403980706,52.100410759216,True,7.097350014815629e-06,0.003,0.0015
Hz,2.0,Om,0.3,0.003,318.56280882897653,318.56280882897653,0.46023214692514297,4.572128610553907,69.6749448590824,True,7.943189868919086e-06,0.003,0.0015
fσ8,0.1,Om,0.3,0.003,0.52592263587851,0.52592263587851,0.3502326797476491,0.046637543610475,11.276808235680436,True,2.100950491078664e-05,0.003,0.0015
fσ8,0.3,Om,0.3,0.003,0.49621496625359046,0.49621496625359046,0.2832863608743953,0.0319145176831252,15.548252089548704,True,2.8233294902297937e-05,0.003,0.0015
fσ8,0.5,Om,0.3,0.003,0.4367098933198421,0.4367098933198421,0.2248282311355645,0.0548289351597774,7.964953031592217,True,3.5738649753196e-05,0.003,0.0015
fσ8,0.8,Om,0.3,0.003,0.33564120078220333,0.33564120078220333,0.15717811876833074,0.0489499319736619,6.856826705352708,True,4.581768920765341e-05,0.003,0.0015
fσ8,1.0,Om,0.3,0.003,0.2755175995507453,0.2755175995507453,0.1242020387090375,0.0527426322025612,5.22381208606737,True,5.127273959872442e-05,0.003,0.0015
fσ8,1.5,Om,0.3,0.003,0.1668240461281297,0.1668240461281297,0.07146750386964938,0.040635779043896,4.105348785067497,True,6.07346121970895e-05,0.003,0.0015
fσ8,2.0,Om,0.3,0.003,0.1047886369935543,0.1047886369935543,0.04375385415845872,0.059120940731847,1.7724453585547773,True,6.607129039084304e-05,0.003,0.0015
Hz,0.1,Ol,0.7,0.006999999999999999,33.381982996584526,33.381982996584526,0.31838604019168887,4.547912097111927,7.340067768192613,True,3.8014035727176728e-06,0.006999999999999999,0.0034999999999999996
Hz,0.2,Ol,0.7,0.006999999999999999,31.708441100619215,31.708441100619215,0.287263168180547,3.877756879504105,8.177005956256378,True,3.0945319459555933e-06,0.006999999999999999,0.0034999999999999996
Hz,0.4,Ol,0.7,0.006999999999999999,28.358987771612075,28.358987771612075,0.22978001837161555,4.7171958398227645,6.011831760768615,True,1.979968242324915e-06,0.006999999999999999,0.0034999999999999996
Hz,0.6,Ol,0.7,0.006999999999999999,25.201428613975455,25.201428613975455,0.18146027386897015,4.394736058118728,5.734457833347911,True,1.2347981233415884e-06,0.006999999999999999,0.0034999999999999996
Hz,0.8,Ol,0.7,0.006999999999999999,22.362528186573428,22.362528186573428,0.1428806161253982,3.188354695775299,7.013814434198522,True,7.655592786733674e-07,0.006999999999999999,0.0034999999999999996
Hz,1.0,Ol,0.7,0.006999999999999999,19.87867686847876,19.87867686847876,0.11290329776625894,4.951244703273511,4.014884753188626,True,4.78018880076941e-07,0.006999999999999999,0.0034999999999999996
Hz,1.5,Ol,0.7,0.006999999999999999,15.079067816669426,15.079067816669426,0.06496521092498941,4.522279403980706,3.334395438591472,True,1.5826805782439733e-07,0.006999999999999999,0.0034999999999999996
Hz,2.0,Ol,0.7,0.006999999999999999,11.798498526291368,11.798498526291368,0.039772730418492025,4.572128610553907,2.580526387437294,True,5.9320149545582037e-08,0.006999999999999999,0.0034999999999999996
fσ8,0.1,Ol,0.7,0.006999999999999999,-0.2253951221280629,0.2253951221280629,-0.3502322240809387,0.046637543610475,4.832911527472432,True,2.003366437453645e-05,0.006999999999999999,0.0034999999999999996
fσ8,0.3,Ol,0.7,0.006999999999999999,-0.2126592678986596,0.2126592678986596,-0.28328064746375725,0.0319145176831252,6.663402217452379,True,1.3106444002838086e-05,0.006999999999999999,0.0034999999999999996
fσ8,0.5,Ol,0.7,0.006999999999999999,-0.18715452471082927,0.18715452471082927,-0.22481999277153275,0.0548289351597774,3.4134262167492566,True,8.255111506048466e-06,0.006999999999999999,0.0034999999999999996
fσ8,0.8,Ol,0.7,0.006999999999999999,-0.14383821559653995,0.14383821559653995,-0.15716936277229854,0.0489499319736619,2.9384763123661504,True,4.034508497504478e-06,0.006999999999999999,0.0034999999999999996
fσ8,1.0,Ol,0.7,0.006999999999999999,-0.1180712960671523,0.1180712960671523,-0.12419396553891647,0.0527426322025612,2.238631087157207,True,2.519163984718621e-06,0.006999999999999999,0.0034999999999999996
fσ8,1.5,Ol,0.7,0.006999999999999999,-0.07149031003197574,0.07149031003197574,-0.07146179640973238,0.040635779043896,1.7592946835041539,True,8.340730078912265e-07,0.006999999999999999,0.0034999999999999996
fσ8,2.0,Ol,0.7,0.006999999999999999,-0.04490547862325199,0.04490547862325199,-0.04375001823600674,0.059120940731847,0.7595528431614166,True,3.1261707599726057e-07,0.006999999999999999,0.0034999999999999996
Hz,0.1,sigma8,0.8,0.008,0.0,0.0,0.0,4.547912097111927,0.0,True,0.0,0.008,0.004
Hz,0.2,sigma8,0.8,0.008,0.0,0.0,0.0,3.877756879504105,0.0,True,0.0,0.008,0.004
Hz,0.4,sigma8,0.8,0.008,0.0,0.0,0.0,4.7171958398227645,0.0,True,0.0,0.008,0.004
Hz,0.6,sigma8,0.8,0.008,0.0,0.0,0.0,4.394736058118728,0.0,True,0.0,0.008,0.004
Hz,0.8,sigma8,0.8,0.008,0.0,0.0,0.0,3.188354695775299,0.0,True,0.0,0.008,0.004
Hz,1.0,sigma8,0.8,0.008,0.0,0.0,0.0,4.951244703273511,0.0,True,0.0,0.008,0.004
Hz,1.5,sigma8,0.8,0.008,0.0,0.0,0.0,4.522279403980706,0.0,True,0.0,0.008,0.004
Hz,2.0,sigma8,0.8,0.008,0.0,0.0,0.0,4.572128610553907,0.0,True,0.0,0.008,0.004
fσ8,0.1,sigma8,0.8,0.008,0.5631141805400447,0.5631141805400447,1.0000000000000004,0.046637543610475,12.074267573851525,True,1.2223778037474566e-14,0.008,0.004
fσ8,0.3,sigma8,0.8,0.008,0.6568640006908085,0.6568640006908085,0.9999999999999947,0.0319145176831252,20.581981128861784,True,1.0479159682121337e-14,0.008,0.004
fσ8,0.5,sigma8,0.8,0.008,0.7284058997741871,0.7284058997741871,0.9999999999999937,0.0548289351597774,13.285063765173154,True,0.0,0.008,0.004
fσ8,0.8,sigma8,0.8,0.008,0.8007822671477829,0.8007822671477829,1.0000000000000089,0.0489499319736619,16.35921103176718,True,8.595823153268844e-15,0.008,0.004
fσ8,1.0,sigma8,0.8,0.008,0.8318631554315309,0.8318631554315309,0.9999999999999961,0.0527426322025612,15.7721205918717,True,1.6682777350098593e-14,0.008,0.004
fσ8,1.5,sigma8,0.8,0.008,0.8753491294749907,0.8753491294749907,0.9999999999999917,0.040635779043896,21.541339924341354,True,2.3844420654728918e-14,0.008,0.004
fσ8,2.0,sigma8,0.8,0.008,0.8981091981124512,0.8981091981124512,0.9999999999999907,0.059120940731847,15.191050531248765,True,0.0,0.008,0.004
Hz,0.1,gamma,0.55,0.0055000000000000005,0.0,0.0,0.0,4.547912097111927,0.0,True,0.0,0.0055000000000000005,0.0027500000000000003
Hz,0.2,gamma,0.55,0.0055000000000000005,0.0,0.0,0.0,3.877756879504105,0.0,True,0.0,0.0055000000000000005,0.0027500000000000003
Hz,0.4,gamma,0.55,0.0055000000000000005,0.0,0.0,0.0,4.7171958398227645,0.0,True,0.0,0.0055000000000000005,0.0027500000000000003
Hz,0.6,gamma,0.55,0.0055000000000000005,0.0,0.0,0.0,4.394736058118728,0.0,True,0.0,0.0055000000000000005,0.0027500000000000003
Hz,0.8,gamma,0.55,0.0055000000000000005,0.0,0.0,0.0,3.188354695775299,0.0,True,0.0,0.0055000000000000005,0.0027500000000000003
Hz,1.0,gamma,0.55,0.0055000000000000005,0.0,0.0,0.0,4.951244703273511,0.0,True,0.0,0.0055000000000000005,0.0027500000000000003
Hz,1.5,gamma,0.55,0.0055000000000000005,0.0,0.0,0.0,4.522279403980706,0.0,True,0.0,0.0055000000000000005,0.0027500000000000003
Hz,2.0,gamma,0.55,0.0055000000000000005,0.0,0.0,0.0,4.572128610553907,0.0,True,0.0,0.0055000000000000005,0.0027500000000000003
