model,H0,omega_m,omega_s0,zt,wt,w0,wa,chi2_hz,chi2_bao,chi2_total,n_params,aic,bic
lcdm,74.0,0.315,,,,,,99.16518364107648,906.6108313671257,1005.7760150082022,3,1011.7760150082022,1017.2619391976694
w0wa,64.0,0.315,,,,-0.3,-1.84,24.845102964862136,53.91369073588987,78.75879370075201,5,88.75879370075201,97.90200068319749
w0wa,64.5,0.315,,,,-0.3,-1.84,28.569041969414208,62.848088560518306,91.4171305299325,5,101.4171305299325,110.56033751237798
w0wa,65.0,0.315,,,,-0.3,-1.84,33.36497640474686,88.47309307010312,121.83806947484999,5,131.83806947485,140.98127645729545
w0wa,65.5,0.315,,,,-0.3,-1.84,39.23290627086014,130.02404303155387,169.256949302414,5,179.256949302414,188.40015628485946
w0wa,66.0,0.315,,,,-0.3,-1.84,46.172831567754045,186.770949866549,232.94378143430305,5,242.94378143430305,252.0869884167485
w0wa,66.5,0.315,,,,-0.3,-1.84,54.18475229542853,258.0167650469453,312.20151734237385,5,322.20151734237385,331.3447243248193
w0wa,67.0,0.315,,,,-0.3,-1.84,63.268668453883656,343.095744140496,406.36441259437964,5,416.36441259437964,425.5076195768251
w0wa,67.5,0.315,,,,-0.3,-1.84,73.42458004311945,441.3719015137665,514.796481556886,5,524.796481556886,533.9396885393314
w0wa,68.0,0.315,,,,-0.3,-1.84,84.65248706313564,552.2375501092356,636.8900371723712,5,646.8900371723712,656.0332441548167
w0wa,68.5,0.315,,,,-0.3,-1.84,96.95238951393262,675.1119210923938,772.0643106063264,5,782.0643106063264,791.2075175887719
w0wa,69.0,0.315,,,,-0.3,-1.84,110.32428739551024,809.4398585158826,919.7641459113929,5,929.7641459113929,938.9073528938384
w0wa,69.5,0.315,,,,-0.3,-1.84,124.76818070786841,954.6905844728589,1079.4587651807274,5,1089.4587651807274,1098.6019721631728
w0wa,70.0,0.315,,,,-0.3,-1.84,140.2840694510072,1110.3565305129653,1250.6405999639724,5,1260.6405999639724,1269.7838069464178
w0wa,70.5,0.315,,,,-0.3,-1.84,156.87195362492656,1275.9522313736195,1432.8241849985461,5,1442.8241849985461,1451.9673919809916
w0wa,71.0,0.315,,,,-0.3,-1.84,174.53183322962659,1451.0132773385317,1625.5451105681582,5,1635.5451105681582,1644.6883175506036
w0wa,71.5,0.315,,,,-0.3,-1.84,193.26370826510728,1635.0953217760998,1828.359030041207,5,1838.359030041207,1847.5022370236525
w0wa,72.0,0.315,,,,-0.3,-1.84,213.0675787313685,1827.7731406334815,2040.84071936485,5,2050.84071936485,2059.9839263472954
w0wa,72.5,0.315,,,,-0.3,-1.84,233.94344462841028,2028.6397408695661,2262.5831854979765,5,2272.5831854979765,2281.726392480422
w0wa,73.0,0.315,,,,-0.3,-1.84,255.89130595623263,2237.3055150037508,2493.1968209599836,5,2503.1968209599836,2512.340027942429
w0wa,73.5,0.315,,,,-0.3,-1.84,278.9111627148357,2453.3974391358747,2732.3086018507106,5,2742.3086018507106,2751.451808833156
w0wa,74.0,0.315,,,,-0.3,-1.84,303.0030149042194,2676.5583119606267,2979.5613268648463,5,2989.5613268648463,2998.7045338472917
rll,64.0,0.315,0.05,1.2,0.35,,,47.64913742396391,443.4946604988088,491.1437979227727,6,503.1437979227727,514.1156463017073
rll,64.5,0.315,0.05,1.2,0.35,,,43.46843622178561,334.80827738412563,378.27671360591125,6,390.27671360591125,401.2485619848458
rll,65.0,0.315,0.05,1.2,0.35,,,40.23441577246629,246.37157803055547,286.60599380302176,6,298.60599380302176,309.5778421819563
rll,65.5,0.315,0.05,1.2,0.35,,,37.94707607600602,177.29863597192002,215.24571204792605,6,227.24571204792605,238.21756042686062
rll,66.0,0.315,0.05,1.2,0.35,,,36.606417132404815,126.74306781120207,163.34948494360688,6,175.34948494360688,186.32133332254145
rll,66.5,0.315,0.05,1.2,0.35,,,36.21243894166258,93.89607290412191,130.1085118457845,6,142.1085118457845,153.08036022471907
rll,67.0,0.315,0.05,1.2,0.35,,,36.76514150377947,77.98458187180759,114.74972337558705,6,126.74972337558705,137.72157175452162
rll,67.5,0.315,0.05,1.2,0.35,,,38.26452481875531,78.26950721590565,116.53403203466095,6,128.53403203466095,139.50588041359552
rll,68.0,0.315,0.05,1.2,0.35,,,40.710588886590195,94.04408976860167,134.75467865519187,6,146.75467865519187,157.72652703412643
rll,68.5,0.315,0.05,1.2,0.35,,,44.10333370728405,124.63233513457028,168.73566884185433,6,180.73566884185433,191.7075172207889
rll,69.0,0.315,0.05,1.2,0.35,,,48.442759280836995,169.38753467506376,217.83029395590074,6,229.83029395590074,240.8021423348353
rll,69.5,0.315,0.05,1.2,0.35,,,53.728865607249034,227.6908659486353,281.4197315558843,6,293.4197315558843,304.3915799348189
rll,70.0,0.315,0.05,1.2,0.35,,,59.961652686520026,298.95006786049385,358.9117205470139,6,370.9117205470139,381.88356892594845
rll,70.5,0.315,0.05,1.2,0.35,,,67.14112051865006,382.5981860856284,449.73930660427845,6,461.73930660427845,472.711154983213
rll,71.0,0.315,0.05,1.2,0.35,,,75.26726910363911,478.09238462118515,553.3596537248243,6,565.3596537248243,576.3315021037589
rll,71.5,0.315,0.05,1.2,0.35,,,84.34009844148714,584.9128195933897,669.2529180348769,6,681.2529180348769,692.2247664138115
rll,72.0,0.315,0.05,1.2,0.35,,,94.3596085321943,702.561571694612,796.9211802268063,6,808.9211802268063,819.8930286057409
rll,72.5,0.315,0.05,1.2,0.35,,,105.3257993757604,830.5616338589357,935.8874332346961,6,947.8874332346961,958.8592816136307
rll,73.0,0.315,0.05,1.2,0.35,,,117.2386709721855,968.455951001087,1085.6946219732724,6,1097.6946219732724,1108.666470352207
rll,73.5,0.315,0.05,1.2,0.35,,,130.09822332146976,1115.806508844682,1245.9047321661517,6,1257.9047321661517,1268.8765805450862
rll,74.0,0.315,0.05,1.2,0.35,,,143.904456423613,1272.1934690531907,1416.0979254768038,6,1428.0979254768038,1439.0697738557383
