z,H_ratio_central,H_ratio_min,H_ratio_max,dmu_central,dmu_min,dmu_max
2.2036727879799667,1.073715189367436,1.0594035520726819,1.088991268618921,-0.07804891359263166,-0.10168366368919379,-0.058122682583118035
2.2086811352253757,1.073757291719695,1.0594656738141883,1.0890243824022772,-0.07813917306297213,-0.10178205282138464,-0.05820790783199925
2.2136894824707847,1.0737989634715508,1.0595271862107387,1.0890572192830132,-0.07822912068512267,-0.10188007164586566,-0.058292837270073505
2.2186978297161937,1.0738402099035127,1.0595880947517606,1.0890897826589352,-0.07831875750802908,-0.10197772199948929,-0.05837747172368779
2.2237061769616027,1.073881036232783,1.0596484049033204,1.0891220758767213,-0.078408084585746,-0.10207500571166861,-0.05846181203131806
2.2287145242070117,1.0739214476137997,1.059708122107435,1.0891541022327278,-0.0784971029771242,-0.10217192460424229,-0.05854585904311449
2.2337228714524207,1.0739614491387828,1.0597672517814105,1.0891858649737796,-0.07858581374556906,-0.10226848049146042,-0.058629613620404086
2.2387312186978297,1.0740010458382827,1.0598257993172056,1.0892173672979524,-0.07867421795879892,-0.10236467517989922,-0.05871307663531411
2.2437395659432386,1.0740402426817346,1.0598837700808235,1.0892486123553429,-0.07876231668859646,-0.10246051046840421,-0.05879624897026048
2.2487479131886476,1.0740790445780106,1.0599411694117247,1.0892796032488274,-0.0788501110106381,-0.1025559881481044,-0.058879131517642236
2.2537562604340566,1.0741174563759792,1.059998002622267,1.0893103430348092,-0.0789376020041459,-0.10265111000229865,-0.05896172517929443
2.2587646076794656,1.074155482865062,1.0600542749971675,1.0893408347239564,-0.07902479075176672,-0.10274587780640587,-0.059044030866196806
2.2637729549248746,1.0741931287757949,1.06010999179299,1.0893710812819273,-0.07911167833931643,-0.10284029332795086,-0.05912604949800482
2.2687813021702836,1.0742303987803896,1.060165158237652,1.0894010856300858,-0.07919826585557388,-0.10293435832657849,-0.059207782002744125
2.2737896494156926,1.0742672974932974,1.0602197795299595,1.0894308506462078,-0.07928455439206061,-0.10302807455387608,-0.059289229316348724
2.2787979966611016,1.0743038294717702,1.0602738608391575,1.0894603791651738,-0.07937054504285612,-0.10312144375352261,-0.05937039238239805
2.2838063439065106,1.0743399992164253,1.060327407304505,1.0894896739796534,-0.07945623890437048,-0.10321446766107556,-0.05945127215165513
2.28881469115192,1.0743758111718098,1.0603804240348729,1.08951873784078,-0.07954163707520223,-0.10330714800408458,-0.0595318695818321
2.293823038397329,1.0744112697269637,1.0604329161083568,1.089547573458813,-0.0796267406558755,-0.10339948650199204,-0.059612185637142545
2.298831385642738,1.074446379215983,1.0604848885719156,1.089576183503793,-0.07971155074873337,-0.10349148486612592,-0.05969222128806706
2.303839732888147,1.0744811439185837,1.0605363464410253,1.0896045706061839,-0.0797960684577177,-0.10358314479968556,-0.05977197751099084
2.308848080133556,1.074515568060663,1.0605872946993555,1.0896327373575088,-0.07988029488818427,-0.1036744679977275,-0.059851455287869726
2.313856427378965,1.0745496558148606,1.0606377382984606,1.089660686310972,-0.07996423114676077,-0.10376545614710864,-0.05993065560598865
2.318864774624374,1.0745834113011177,1.0606876821574918,1.0896884199820749,-0.08004787834116911,-0.1038561109265359,-0.06000957945760632
